year,week,channel,metric_name,value,metric
2024.0,1.0,CB,Revenue,9287.52,CB Revenue
2024.0,1.0,CB,Commisson,5255.39,CB Commisson
2024.0,1.0,CB,Earning,2693.69,CB Earning
2024.0,1.0,CB,COGS + S&H,651.6,CB COGS + S&H
2024.0,1.0,CB,Net Income,2042.09,CB Net Income
2024.0,1.0,BG,Revenue,411.05,BG Revenue
2024.0,1.0,BG,Commisson,213.53,BG Commisson
2024.0,1.0,BG,Earning,115.31,BG Earning
2024.0,1.0,BG,COGS + S&H,66.75,BG COGS + S&H
2024.0,1.0,BG,Net Income,48.56,BG Net Income
2024.0,1.0,DS,Revenue,2565.79,DS Revenue
2024.0,1.0,DS,Commisson,1381.22,DS Commisson
2024.0,1.0,DS,Earning,859.04,DS Earning
2024.0,1.0,DS,COGS + S&H,438.6,DS COGS + S&H
2024.0,1.0,DS,Net Income,420.44,DS Net Income
2024.0,1.0,Total,Net Income,2511.09,Total Net Income
2024.0,1.0,CB,Revenue,,CB Revenue
2024.0,1.0,CB,Commisson,,CB Commisson
2024.0,1.0,CB,Earning,,CB Earning
2024.0,1.0,CB,COGS + S&H,,CB COGS + S&H
2024.0,1.0,CB,Net Income,,CB Net Income
2024.0,1.0,BG,Revenue,,BG Revenue
2024.0,1.0,BG,Commisson,,BG Commisson
2024.0,1.0,BG,Earning,,BG Earning
2024.0,1.0,BG,COGS + S&H,,BG COGS + S&H
2024.0,1.0,BG,Net Income,,BG Net Income
2024.0,1.0,DS,Revenue,,DS Revenue
2024.0,1.0,DS,Commisson,,DS Commisson
2024.0,1.0,DS,Earning,,DS Earning
2024.0,1.0,DS,COGS + S&H,,DS COGS + S&H
2024.0,1.0,DS,Net Income,,DS Net Income
2024.0,1.0,Total,Net Income,,Total Net Income
2024.0,2.0,CB,Revenue,6086.29,CB Revenue
2024.0,2.0,CB,Commisson,3174.99,CB Commisson
2024.0,2.0,CB,Earning,2032.52,CB Earning
2024.0,2.0,CB,COGS + S&H,389.1,CB COGS + S&H
2024.0,2.0,CB,Net Income,1643.42,CB Net Income
2024.0,2.0,BG,Revenue,889.97,BG Revenue
2024.0,2.0,BG,Commisson,536.32,BG Commisson
2024.0,2.0,BG,Earning,175.66,BG Earning
2024.0,2.0,BG,COGS + S&H,138.75,BG COGS + S&H
2024.0,2.0,BG,Net Income,36.91,BG Net Income
2024.0,2.0,DS,Revenue,497.98,DS Revenue
2024.0,2.0,DS,Commisson,271.62,DS Commisson
2024.0,2.0,DS,Earning,152.02,DS Earning
2024.0,2.0,DS,COGS + S&H,81.75,DS COGS + S&H
2024.0,2.0,DS,Net Income,70.27,DS Net Income
2024.0,2.0,Total,Net Income,1750.6,Total Net Income
2024.0,2.0,CB,Revenue,,CB Revenue
2024.0,2.0,CB,Commisson,,CB Commisson
2024.0,2.0,CB,Earning,,CB Earning
2024.0,2.0,CB,COGS + S&H,,CB COGS + S&H
2024.0,2.0,CB,Net Income,,CB Net Income
2024.0,2.0,BG,Revenue,,BG Revenue
2024.0,2.0,BG,Commisson,,BG Commisson
2024.0,2.0,BG,Earning,,BG Earning
2024.0,2.0,BG,COGS + S&H,,BG COGS + S&H
2024.0,2.0,BG,Net Income,,BG Net Income
2024.0,2.0,DS,Revenue,,DS Revenue
2024.0,2.0,DS,Commisson,,DS Commisson
2024.0,2.0,DS,Earning,,DS Earning
2024.0,2.0,DS,COGS + S&H,,DS COGS + S&H
2024.0,2.0,DS,Net Income,,DS Net Income
2024.0,2.0,Total,Net Income,,Total Net Income
2024.0,3.0,CB,Revenue,16280.95,CB Revenue
2024.0,3.0,CB,Commisson,8822.93,CB Commisson
2024.0,3.0,CB,Earning,4809.27,CB Earning
2024.0,3.0,CB,COGS + S&H,1224.45,CB COGS + S&H
2024.0,3.0,CB,Net Income,3584.82,CB Net Income
2024.0,3.0,BG,Revenue,1175.57,BG Revenue
2024.0,3.0,BG,Commisson,657.92,BG Commisson
2024.0,3.0,BG,Earning,282.54,BG Earning
2024.0,3.0,BG,COGS + S&H,185.25,BG COGS + S&H
2024.0,3.0,BG,Net Income,97.29,BG Net Income
2024.0,3.0,DS,Revenue,822.84,DS Revenue
2024.0,3.0,DS,Commisson,454.27,DS Commisson
2024.0,3.0,DS,Earning,256.73,DS Earning
2024.0,3.0,DS,COGS + S&H,139.5,DS COGS + S&H
2024.0,3.0,DS,Net Income,117.23,DS Net Income
2024.0,3.0,Total,Net Income,3799.34,Total Net Income
2024.0,3.0,CB,Revenue,,CB Revenue
2024.0,3.0,CB,Commisson,,CB Commisson
2024.0,3.0,CB,Earning,,CB Earning
2024.0,3.0,CB,COGS + S&H,,CB COGS + S&H
2024.0,3.0,CB,Net Income,,CB Net Income
2024.0,3.0,BG,Revenue,,BG Revenue
2024.0,3.0,BG,Commisson,,BG Commisson
2024.0,3.0,BG,Earning,,BG Earning
2024.0,3.0,BG,COGS + S&H,,BG COGS + S&H
2024.0,3.0,BG,Net Income,,BG Net Income
2024.0,3.0,DS,Revenue,,DS Revenue
2024.0,3.0,DS,Commisson,,DS Commisson
2024.0,3.0,DS,Earning,,DS Earning
2024.0,3.0,DS,COGS + S&H,,DS COGS + S&H
2024.0,3.0,DS,Net Income,,DS Net Income
2024.0,3.0,Total,Net Income,,Total Net Income
2024.0,4.0,CB,Revenue,11092.09,CB Revenue
2024.0,4.0,CB,Commisson,5745.14,CB Commisson
2024.0,4.0,CB,Earning,3605.09,CB Earning
2024.0,4.0,CB,COGS + S&H,800.85,CB COGS + S&H
2024.0,4.0,CB,Net Income,2804.24,CB Net Income
2024.0,4.0,BG,Revenue,261.98,BG Revenue
2024.0,4.0,BG,Commisson,162.55,BG Commisson
2024.0,4.0,BG,Earning,47.03,BG Earning
2024.0,4.0,BG,COGS + S&H,40.5,BG COGS + S&H
2024.0,4.0,BG,Net Income,6.53,BG Net Income
2024.0,4.0,DS,Revenue,2537.56,DS Revenue
2024.0,4.0,DS,Commisson,1428.43,DS Commisson
2024.0,4.0,DS,Earning,785.07,DS Earning
2024.0,4.0,DS,COGS + S&H,500.85,DS COGS + S&H
2024.0,4.0,DS,Net Income,284.22,DS Net Income
2024.0,4.0,Total,Net Income,3094.99,Total Net Income
2024.0,4.0,CB,Revenue,,CB Revenue
2024.0,4.0,CB,Commisson,,CB Commisson
2024.0,4.0,CB,Earning,,CB Earning
2024.0,4.0,CB,COGS + S&H,,CB COGS + S&H
2024.0,4.0,CB,Net Income,,CB Net Income
2024.0,4.0,BG,Revenue,,BG Revenue
2024.0,4.0,BG,Commisson,,BG Commisson
2024.0,4.0,BG,Earning,,BG Earning
2024.0,4.0,BG,COGS + S&H,,BG COGS + S&H
2024.0,4.0,BG,Net Income,,BG Net Income
2024.0,4.0,DS,Revenue,,DS Revenue
2024.0,4.0,DS,Commisson,,DS Commisson
2024.0,4.0,DS,Earning,,DS Earning
2024.0,4.0,DS,COGS + S&H,,DS COGS + S&H
2024.0,4.0,DS,Net Income,,DS Net Income
2024.0,4.0,Total,Net Income,,Total Net Income
2024.0,5.0,CB,Revenue,8027.06,CB Revenue
2024.0,5.0,CB,Commisson,4010.97,CB Commisson
2024.0,5.0,CB,Earning,2628.79,CB Earning
2024.0,5.0,CB,COGS + S&H,417.9,CB COGS + S&H
